[21-Jan-2011 00:22:48] [4d39263879d51] [] [Anonymous] [127.0.0.1] GET http://localhost/monoql/ [NO POST] [NO FILES] [COOKIES:ZDEDebuggerPresent=php,phtml,php3] [NO REFERER] [USER-AGENT:Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13]
[21-Jan-2011 18:50:28] [4d3a29d4e85c9] [] [Anonymous] [127.0.0.1] GET http://localhost/monoql/ [NO POST] [NO FILES] [NO COOKIES] [NO REFERER] [USER-AGENT:Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13]
[21-Jan-2011 19:01:55] [4d3a2c837e43e] [] [Anonymous] [127.0.0.1] GET http://localhost/monoql/ [NO POST] [NO FILES] [NO COOKIES] [NO REFERER] [USER-AGENT:Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13]
[21-Jan-2011 19:02:07] [4d3a2c8fae2ff] [] [Anonymous] [127.0.0.1] GET http://localhost/monoql/ [NO POST] [NO FILES] [COOKIES:ZDEDebuggerPresent=php,phtml,php3] [NO REFERER] [USER-AGENT:Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13]
[21-Jan-2011 19:04:39] [4d3a2d277aed5] [] [Anonymous] [127.0.0.1] GET http://localhost/monoql/ [NO POST] [NO FILES] [COOKIES:ZDEDebuggerPresent=php,phtml,php3] [NO REFERER] [USER-AGENT:Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13]
[21-Jan-2011 19:12:04] [4d3a2ee49803b] [] [Anonymous] [127.0.0.1] GET http://localhost/monoql/ [NO POST] [NO FILES] [COOKIES:ZDEDebuggerPresent=php,phtml,php3] [REFERER:http://localhost/] [USER-AGENT:Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US) AppleWebKit/534.10 (KHTML, like Gecko) Chrome/8.0.552.237 Safari/534.10]
[21-Jan-2011 19:12:28] [4d3a2efcccb47] [] [Anonymous] [127.0.0.1] GET http://localhost/monoql/ [NO POST] [NO FILES] [COOKIES:ZDEDebuggerPresent=php,phtml,php3] [NO REFERER] [USER-AGENT:Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13]
[21-Jan-2011 19:21:10] [4d3a31065d200] [] [Anonymous] [127.0.0.1] GET http://localhost/monoql/ [NO POST] [NO FILES] [COOKIES:ZDEDebuggerPresent=php,phtml,php3] [NO REFERER] [USER-AGENT:Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13]
[21-Jan-2011 19:53:48] [4d3a38ac0c28e] [] [Anonymous] [127.0.0.1] GET http://localhost/monoql/ [NO POST] [NO FILES] [COOKIES:ZDEDebuggerPresent=php,phtml,php3] [NO REFERER] [USER-AGENT:Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13]
[21-Jan-2011 19:54:53] [4d3a38eda75ec] [] [Anonymous] [127.0.0.1] GET http://localhost/monoql/ [NO POST] [NO FILES] [COOKIES:ZDEDebuggerPresent=php,phtml,php3] [NO REFERER] [USER-AGENT:Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13]
[21-Jan-2011 19:59:07] [4d3a39eb9e8c8] [] [Anonymous] [127.0.0.1] GET http://localhost/monoql/ [NO POST] [NO FILES] [COOKIES:ZDEDebuggerPresent=php,phtml,php3] [NO REFERER] [USER-AGENT:Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13]
[21-Jan-2011 20:00:54] [4d3a3a56378d6] [] [Anonymous] [127.0.0.1] GET http://localhost/monoql/ [NO POST] [NO FILES] [COOKIES:ZDEDebuggerPresent=php,phtml,php3] [NO REFERER] [USER-AGENT:Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13]
[21-Jan-2011 20:01:08] [4d3a3a6465ce2] [] [Anonymous] [127.0.0.1] GET http://localhost/monoql/ [NO POST] [NO FILES] [COOKIES:ZDEDebuggerPresent=php,phtml,php3] [NO REFERER] [USER-AGENT:Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13]
[21-Jan-2011 20:01:13] [4d3a3a69044ac] [] [Anonymous] [127.0.0.1] GET http://localhost/monoql/ [NO POST] [NO FILES] [COOKIES:ZDEDebuggerPresent=php,phtml,php3] [NO REFERER] [USER-AGENT:Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13]
[21-Jan-2011 20:07:39] [4d3a3bebb7954] [] [Anonymous] [127.0.0.1] GET http://localhost/monoql/ [NO POST] [NO FILES] [COOKIES:ZDEDebuggerPresent=php,phtml,php3] [NO REFERER] [USER-AGENT:Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13]
